id,open_date,name,location,lat,lon,threat,commodity,description
10001,2019-10-27,"James River, Virginia Diesel Oil Spill; Hampton, VA, USA","Hampton, VA, USA",36.98032249210124,-76.34362793527542,Oil,Diesel,"On Sunday, 27 October, 2019, both USCG Sector HamptonRoads and Virginia DEQ notified the NOAA SSC about an oil spill in the vicinity of Outlook Beach, located near the mouth of the James River. Both source and volume spilled are unknown. The product appears to be diesel fuel."
9542,2017-08-06,"Propyl acetate release; Pier G, Port of Long Beach, CA 90802, USA","Pier G, Port of Long Beach, CA 90802, USA",33.7436659261,-118.20199867,Chemical,Propyl Acetate,"On August 6, 2017, the USCG Sector Los Angeles/Long Beach contacted the NOAA SSC to request hazard information for a release of propyl acetate (UN/NA 1276) on the deck of the container ship MV Harbour Bridge.  The ship is currently moored along southern face of Pier G.  A puncture in a 20-foot ISO tank resulted in product was spilled onto the deck and some product may have entered the water.  Eleven crewmembers were reportedly having difficulty breathing and one fire fighter has been sent to the hospital."
10280,2021-05-14,M/V Toya Adrift; Offshore Texas,Offshore Texas,27.148333329999986,-94.57,Oil,Diesel,"On May 14, 2021 the M/T Toyo lost propulsion and is adrift approximately 120 miles offshore of Galveston, TX.  No vessel damage or discharge. MSU Texas City has requested a vessel drift trajectory to evaluate risk of allision with nearby platforms.  Vessel is in ballast (no cargoes),  loaded with approximately 1 million gallons (~24,000 bbls) fuel.  Fuel is heavy fuel oil (HFO) and marine grade diesel.  Assist tug enroute."
9159,2015-08-17,"Sitka Power Plant; Sitka, Alaska","Sitka, Alaska",57.053055,-135.334722,Oil,Diesel,"On August 15, USCG received a report of a diesel release at the Sitka, Alaska, Power Plant.  Approximately 30,000 gallons of diesel was released to secondary containment; some diesel flowed from secondary containment into a local storm drain.  Sheen and a strong odor of diesel was reported at a storm drain outfall at Eagle Beach.  USCG requested a fates analysis for the diesel in secondary containment in order to estimate how much diesel was released through the storm drain."
9176,2015-06-20,"Mississippi River Vessel, Ascension Parish; Baton Rouge, LA","Baton Rouge, LA",30.12485,-90.94825,Chemical,Silicon Carbide With Trace Metal Contaminants,"On June 20, 2015, the USCG MSU Baton Rouge requested the NOAA SSC assist with a cargo vessel with high levels of hydrogen gas in her hold and bilges.  Trace amounts of metal (iron and aluminum) in a bulk cargo of silicon carbide loaded in China were reacting, producing hydrogen gas.  USCG requested scientific support during salvage operations."
10028,2020-01-01,"FV Scandies Rose sinking; Sutwik Island, Alaska","Sutwik Island, Alaska",56.49171999999999,-157.0178,Oil,Diesel,"On January 1, 2020, the USCG MSD Kodiak received notification of the FV Scandies Rose sinking due to high winds and heavy seas. It is unknown if there is a discharge at this time. Potential fuels on board include 120,000 gallons of diesel, 1200 gallons of lube oils, and 650 gallons of other oils.  USCG is requesting a fates and trajectory analysis for a potential release."
10233,2021-02-17,"Orphan Drum, Warrenton Jetty Lagoon; Hammond, OR","Hammond, OR",46.21875,-123.9907,Chemical,Diesel,"On the afternoon of 17-FEB-2021 the USCG Sector Columbia River contacted the SSC in regards to a 55-gallon drum with unknown contents that washed up on the Warrenton Jetty Lagoon, Oregon. A Resources at Risk is requested."
1035,2003-01-14,"F/V Grounding; Umpqua River, OR","Umpqua River, OR",43.6751,-124.224,Oil,Diesel,"On Tuesday Jan. 14, 2003 at 0900, MSO Portland reported a fishing vesselthat is aground 1.5 nautical miles north of the north jetty at the mouthof the Umpqua River. The vessel is hard aground in sand with 4000gallons of diesel on board.Two days later, the vessel was refloated. No damage to the hull and no pollution in thewater."
9084,1985-11-13,"Container Ship Methyl Bromide Leak; Gulfport, Mississippi","Gulfport, Mississippi",30.355126,-89.090291,Chemical,Diesel,"There Was A Susupected Methyl Bromide Leak On A Container Ship Docked At Gulf Port, Miss. A Hissing Sounf Was Heard Coming From The Area Where The Chemcial Was Stored. Ship M/V Tsl Express"
9328,2016-07-28,"PC Outlaw; Long Island, Alaska","Long Island, Alaska",54.8216666667,-132.671666667,Oil,Diesel,"On July 28, 2016, the pleasure craft Outlaw,a 40-ft aluminum hulled vessel, grounded in Nina Cove (54-49.3N, 132-40.3W), on the southeast corner of Long Island, Alaska. 7 People were rescued off the vessel and transferred to USCG Station Ketchikan.  USCG Marine Safety Detachment Ketchikan reports 410 gallons of diesel and approximately 20 gallons of hydraulic oil onboard. The Coast Guard is requesting a Resources at Risk report."
8953,2015-06-28,"Space X Dragon Rocket Incident; 150 miles offshore Jacksonville, FL","150 miles offshore Jacksonville, FL",30.2174,-78.8237,Chemical,Monomethylhydrazine And Dinitrogen Tetroxide,"On June 28, 2015, a Space X Dragon rocket that was launched from Cape Canaveral, Florida, exploded several minutes after launch. The debris and payload of the rocket crashed offshore approximately 150 miles off Jacksonville, FL.  The USCG contacted the NOAA SSC to assist with hazard assessment for rocket fuels that may have survived the explosion."
10346,2021-08-27,Hurricane Ida; Gulf of Mexico,Gulf of Mexico,29.13,-90.21,Other,Diesel,"This hotline was opened on August 27, 2021, to capture information regarding Hurricane Ida.  Ida is expected to make landfall later this week and result in major impacts to coastal Louisiana. As a multi-hazard event with possible involvement of multiple NOS programs, the NOS Disaster Coordination Dashboard has been established for situational awareness, communications, coordination, and documentation across NOS program offices and up to (and through) NOS leadership. Future updates will be provided as the incident evolves."
8866,2015-01-06,"Adiponitrile Barge; MM 173 Tombigbee River east of Pennington, AL","MM 173 Tombigbee River east of Pennington, AL",32.2269444444,-88.0091666667,Chemical,Adiponitrile,"At 1130 on January 6, 2015, USCG Sector Mobile notified NOAA SSC that a barge carrying 1,400 tons of Adiponitrile struck the Nehoela Bridge on the Tombigbee River and sustained minor damage. The barge has been pushed into the bank is being lightered and no chemical has been released.  USCG requested trajectory for worst case discharge (WCD)."
10191,2020-10-26,"M/V WILD WAVE aground; Avalon, CA","Avalon, CA",33.35,-118.326667,Oil,Diesel,"On October 26, 2020, the USCG Sector LA/LB contacted their NOAA SSC about the pleasure craft M/V WILD WAVE that was aground on Descanso Beach, in Avalon, CA (Santa Catalina Island).  USCG reports that the vessel has a potential of 200 gallons of diesel on board.  It is likely to break up before the vessel can be recovered.  Sector LA/LB requested a hypothetical ""what if"" trajectory in the event a spill occurs."
